rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
11,646240,Rafael Devers,SF,AZ,2026-08-28T01:45:00Z,Scheduled,2,Jose Cabrera,703615,R,55.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.0,35.4,19.3,95.5,80.0,80.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 3.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.5,52.32,92.87,103.0718,0.4576,0.2238,0.339,71.81,20.44,33.84,33.67,30.1,0.2333,6.7,35.0,88.2,0.456,0.188,25.0,,,Oracle Park,
12,660271,Shohei Ohtani,LAD,ATL,2026-08-27T23:15:00Z,Scheduled,1,Chris Sale,519242,L,54.8,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",81.1,21.4,30.9,88.7,50.0,27.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","same-side matchup; pitcher baseline 5.6% barrel, 8.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.67,54.22,93.92,104.4982,0.5972,0.3099,0.4124,75.03,53.36,46.35,32.13,37.5,0.2833,5.6,34.84,87.62,0.327,0.108,25.41,,,Truist Park,
13,695506,Jac Caglianone,KC,TOR,2026-08-27T23:07:00Z,Scheduled,3,Spencer Arrighetti,681293,R,54.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.7,38.2,30.4,92.1,80.0,24.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 10.9 HR allowed",EV profile; pitcher fly-ball pressure modest,13.68,51.22,92.06,104.7953,0.4877,0.2206,0.349,77.33,74.9,43.02,22.4,17.5,0.1919,8.38,35.3,87.91,0.405,0.1644,28.86,,,Rogers Centre,
14,621566,Matt Olson,ATL,LAD,2026-08-27T23:15:00Z,Scheduled,3,Yoshinobu Yamamoto,808967,R,54.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",66.8,25.6,30.9,92.1,80.0,33.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 6.1% barrel, 14.7 HR allowed",EV profile; pitcher fly-ball pressure modest,15.17,50.92,92.81,103.8107,0.5088,0.2601,0.3593,74.53,47.82,37.72,33.13,33.9,0.2547,6.12,37.11,87.88,0.3278,0.1165,23.22,,,Truist Park,
15,691023,Jordan Walker,STL,BAL,2026-08-27T18:15:00Z,Scheduled,3,Trevor Rogers,669432,L,54.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",56.4,37.0,22.1,92.1,78.0,69.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 11.6 HR allowed",EV profile; pitcher fly-ball pressure modest,12.86,48.46,92.44,104.5489,0.4505,0.1963,0.3319,78.94,83.12,37.47,24.75,20.7,0.1792,7.18,41.47,89.14,0.3886,0.1475,24.25,,,Busch Stadium,
16,694192,Jackson Chourio,MIL,NYM,2026-08-27T23:10:00Z,Scheduled,1,Sean Manaea,640455,L,54.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.7,54.3,24.8,88.7,78.0,24.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 10.6% barrel, 17.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.94,45.45,91.05,101.8906,0.4561,0.2028,0.3287,74.25,43.68,30.38,28.29,18.2,0.1853,10.58,42.46,89.45,0.436,0.1869,29.1,,,Citi Field,
17,695600,Carter Jensen,KC,TOR,2026-08-27T23:07:00Z,Scheduled,1,Spencer Arrighetti,681293,R,53.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",55.2,38.2,30.4,88.7,80.0,43.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 8.4% barrel, 10.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.38,47.73,92.25,102.6955,0.4433,0.2011,0.3357,74.1,38.52,39.67,30.7,12.8,0.2024,8.38,35.3,87.91,0.405,0.1644,28.86,,,Rogers Centre,
18,677951,Bobby Witt,KC,TOR,2026-08-27T23:07:00Z,Scheduled,2,Spencer Arrighetti,681293,R,52.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",56.2,38.2,30.4,95.5,50.0,46.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","same-side matchup; pitcher baseline 8.4% barrel, 10.9 HR allowed",EV profile; pitcher fly-ball pressure modest,11.87,50.46,92.74,103.6078,0.5066,0.2087,0.3769,73.88,41.81,29.96,26.92,18.1,0.1808,8.38,35.3,87.91,0.405,0.1644,28.86,,,Rogers Centre,
19,663757,Trent Grisham,NYY,HOU,2026-08-27T23:05:00Z,Scheduled,1,Hayden Wesneski,669713,R,51.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.3,37.2,38.2,88.7,80.0,23.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.26,46.68,91.03,100.954,0.4588,0.2101,0.3518,70.79,9.3,46.4,31.05,22.8,0.208,7.56,40.63,89.35,0.3961,0.1522,26.63,,,Yankee Stadium,
20,661388,William Contreras,MIL,NYM,2026-08-27T23:10:00Z,Scheduled,3,Sean Manaea,640455,L,51.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.6,54.3,24.8,92.1,78.0,45.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,30,0,Contact streak: 13/30 over last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 17.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.52,45.35,90.47,101.65,0.4287,0.1681,0.3357,73.34,35.67,36.18,23.94,13.5,0.1299,10.58,42.46,89.45,0.436,0.1869,29.1,,,Citi Field,
21,687952,Christian Encarnacion-Strand,BAL,STL,2026-08-27T18:15:00Z,Scheduled,5,,,,51.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",59.2,41.2,22.1,81.9,60.0,36.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.02,41.55,90.91,101.8549,0.5037,0.2633,0.3266,73.81,37.81,45.32,29.79,6.7,0.2236,,,,,,,,,Busch Stadium,
22,672960,Kazuma Okamoto,TOR,KC,2026-08-27T23:07:00Z,Scheduled,5,Noah Cameron,702070,L,50.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",50.3,38.3,30.4,81.9,78.0,36.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.7,43.5,90.5,101.3275,0.427,0.21,0.314,73.1,34.6,50.2,33.3,26.0,0.207,7.35,37.89,88.67,0.4079,0.1604,26.38,,,Rogers Centre,
23,691723,Coby Mayo,BAL,STL,2026-08-27T18:15:00Z,Scheduled,4,,,,50.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",50.1,41.2,22.1,90.4,60.0,54.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.92,45.1,90.59,102.79,0.4148,0.1971,0.3058,75.4,54.67,49.97,33.9,15.2,0.2067,,,,,,,,,Busch Stadium,
24,686948,Drake Baldwin,ATL,LAD,2026-08-27T23:15:00Z,Scheduled,1,Yoshinobu Yamamoto,808967,R,49.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",56.3,25.6,30.9,88.7,80.0,15.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 6.1% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.26,51.28,91.77,102.3504,0.4898,0.215,0.3642,75.23,55.67,32.64,24.83,20.4,0.1803,6.12,37.11,87.88,0.3278,0.1165,23.22,,,Truist Park,
25,662139,Daulton Varsho,HOU,NYY,2026-08-27T23:05:00Z,Scheduled,5,Gerrit Cole,543037,R,49.1,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",34.7,40.7,38.2,81.9,80.0,70.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.97,38.55,87.8,99.5546,0.3932,0.1634,0.2976,73.71,36.11,41.15,30.36,12.3,0.1833,8.1,42.3,90.2,0.366,0.131,29.6,,,Yankee Stadium,
26,683734,Andrew Vaughn,MIL,NYM,2026-08-27T23:10:00Z,Scheduled,5,Sean Manaea,640455,L,48.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.0,54.3,24.8,81.9,78.0,39.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,0,Contact streak: 8/21 over last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 17.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.45,44.76,90.48,100.2334,0.4195,0.1465,0.3441,70.6,13.57,35.75,24.55,7.7,0.1493,10.58,42.46,89.45,0.436,0.1869,29.1,,,Citi Field,
27,676475,Alec Burleson,STL,BAL,2026-08-27T18:15:00Z,Scheduled,4,Trevor Rogers,669432,L,48.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",54.0,37.0,22.1,90.4,50.0,30.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 11.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.9,47.83,91.84,102.007,0.5172,0.2277,0.3716,73.21,33.79,43.82,27.54,20.1,0.1879,7.18,41.47,89.14,0.3886,0.1475,24.25,,,Busch Stadium,
28,521692,Salvador Perez,KC,TOR,2026-08-27T23:07:00Z,Scheduled,4,Spencer Arrighetti,681293,R,48.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",46.3,38.2,30.4,90.4,50.0,50.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.44,43.55,89.23,100.6347,0.4535,0.2072,0.3199,71.99,22.0,42.05,30.85,20.9,0.1701,8.38,35.3,87.91,0.405,0.1644,28.86,,,Rogers Centre,
29,665489,Vladimir Guerrero,TOR,KC,2026-08-27T23:07:00Z,Scheduled,2,Noah Cameron,702070,L,48.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.5,38.3,30.4,95.5,78.0,23.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.42,45.38,90.67,102.9957,0.4325,0.1437,0.3483,76.35,63.4,35.53,19.45,11.8,0.1169,7.35,37.89,88.67,0.4079,0.1604,26.38,,,Rogers Centre,
30,691728,Zac Veen,COL,WSH,2026-08-27T17:05:00Z,Scheduled,8,Jake Irvin,663623,R,48.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.5,64.2,28.2,47.9,80.0,7.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","platoon edge; pitcher baseline 11.8% barrel, 21.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.19,38.19,87.89,100.375,0.3716,0.1977,0.255,71.77,23.29,60.19,39.69,1.7,0.2395,11.79,45.63,89.49,0.4763,0.2197,29.79,,,Nationals Park,
31,686469,Vinnie Pasquantino,KC,TOR,2026-08-27T23:07:00Z,Scheduled,5,Spencer Arrighetti,681293,R,48.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",37.8,38.2,30.4,81.9,80.0,66.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.49,42.11,89.92,100.2315,0.4287,0.1728,0.3312,71.03,14.89,43.77,27.88,15.2,0.1571,8.38,35.3,87.91,0.405,0.1644,28.86,,,Rogers Centre,
32,650489,Willi Castro,COL,WSH,2026-08-27T17:05:00Z,Scheduled,6,Jake Irvin,663623,R,48.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.5,62.2,28.2,71.7,75.0,32.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","switch hitter; pitcher baseline 11.8% barrel, 21.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.9,39.82,87.47,100.2622,0.3876,0.1519,0.3081,72.51,25.97,42.67,30.27,13.8,0.1575,11.79,45.63,89.49,0.4763,0.2197,29.79,,,Nationals Park,
33,665862,Jazz Chisholm,NYY,HOU,2026-08-27T23:05:00Z,Scheduled,7,Hayden Wesneski,669713,R,47.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.2,37.2,38.2,59.8,80.0,63.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,1,Contact streak: 10/23 over last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.66,42.25,90.19,100.4146,0.4005,0.1826,0.3068,73.41,34.42,51.77,30.61,21.9,0.1949,7.56,40.63,89.35,0.3961,0.1522,26.63,,,Yankee Stadium,
