rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
11,681715,Heriberto Hernández,MIA,PHI,2026-08-19T22:05:00Z,Warmup,5,Aaron Nola,605400,R,60.6,Tier 3,Watch List,"Strong Barrel, Good Environment",53.4,49.5,78.8,86.4,50.0,54.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 26.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.12,47.99,91.18,101.674,0.4595,0.2138,0.3403,74.21,45.95,46.33,29.78,15.6,0.207,9.52,42.11,88.91,0.4212,0.1759,27.67,Out To RF,89,Citizens Bank Park,
12,700250,Ben Rice,NYY,BAL,2026-08-19T22:35:00Z,Pre-Game,2,Chris Bassitt,605135,R,60.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",64.6,26.5,71.1,100.0,80.0,18.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","platoon edge; pitcher baseline 5.5% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.12,50.85,92.53,102.6106,0.5187,0.252,0.3763,72.91,27.87,46.01,30.25,30.9,0.2692,5.49,35.76,87.63,0.4042,0.1301,22.3,Out To RF,86,Oriole Park at Camden Yards,
13,677951,Bobby Witt Jr.,KC,ATH,2026-08-19T23:40:00Z,Pre-Game,2,Jeffrey Springs,605488,L,60.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",56.6,48.1,36.7,100.0,78.0,72.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 28.0 HR allowed",EV profile; pitcher allows elevated contact,12.08,50.67,92.74,103.5457,0.5052,0.2087,0.3762,73.95,41.95,30.17,27.06,17.4,0.1829,9.01,36.18,88.02,0.4478,0.1946,33.0,In From CF,81,Kauffman Stadium,
14,606192,Teoscar Hernández,LAD,COL,2026-08-20T00:40:00Z,Pre-Game,3,Kyle Freeland,607536,L,60.1,Tier 3,Watch List,"Premium Lineup Spot, Platoon Edge",42.9,59.0,68.2,96.6,78.0,19.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 10.2% barrel, 22.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.96,44.56,89.99,101.1321,0.4284,0.1815,0.3188,72.41,24.78,33.52,29.8,15.2,0.1692,10.24,44.08,90.47,0.4779,0.1952,28.52,R To L,88,Coors Field,
15,663886,Tyler Stephenson,CIN,STL,2026-08-19T22:40:00Z,Pre-Game,5,Matthew Liberatore,669461,L,59.9,Longshot,Watch List,"Strong Barrel, Platoon Edge",52.4,51.8,57.3,86.4,78.0,50.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.24,47.31,90.99,100.5654,0.4501,0.2089,0.3368,70.52,7.28,36.38,33.15,12.3,0.176,9.13,41.38,90.32,0.4461,0.178,28.38,R To L,75,Great American Ball Park,
16,676475,Alec Burleson,STL,CIN,2026-08-19T22:40:00Z,Pre-Game,3,Chase Burns,695505,R,59.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.5,37.2,57.3,96.6,80.0,72.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 10.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.04,47.62,91.77,102.0326,0.5235,0.2312,0.3751,73.21,33.51,43.54,27.75,20.1,0.1935,8.1,39.4,89.5,0.3462,0.1383,28.94,R To L,75,Great American Ball Park,
17,547180,Bryce Harper,PHI,MIA,2026-08-19T22:05:00Z,Warmup,3,Sandy Alcantara,645261,R,59.7,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",52.0,34.1,78.8,96.6,80.0,36.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,0,Contact streak: 8/22 over last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.32,45.61,90.53,101.9398,0.4983,0.2268,0.3841,74.17,45.5,37.56,27.73,25.6,0.2316,6.36,38.35,89.09,0.3863,0.1358,23.96,Out To RF,89,Citizens Bank Park,
18,670541,Yordan Alvarez,HOU,LAA,2026-08-20T00:10:00Z,Pre-Game,2,Walbert Ureña,700712,R,59.7,Longshot,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.9,14.3,41.1,100.0,80.0,37.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 4.8% barrel, 6.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.46,53.18,94.56,104.9884,0.6393,0.3238,0.4399,76.1,61.73,41.72,36.38,27.0,0.255,4.8,33.6,87.0,0.296,0.097,22.9,None,72,Daikin Park,
19,666160,Mickey Moniak,COL,LAD,2026-08-20T00:40:00Z,Pre-Game,3,Roki Sasaki,808963,R,59.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.5,54.9,68.2,92.1,80.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,0,"Last 7 games: 2/24, 0 HR","platoon edge; pitcher baseline 10.5% barrel, 16.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.7,42.29,89.35,100.2491,0.4382,0.207,0.3048,74.19,44.37,45.68,38.1,20.5,0.2592,10.47,44.7,90.18,0.4237,0.1831,28.0,R To L,88,Coors Field,
20,683002,Gunnar Henderson,BAL,NYY,2026-08-19T22:35:00Z,Pre-Game,3,Will Warren,701542,R,59.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",38.6,48.6,71.1,96.6,80.0,72.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 19.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.69,46.26,90.56,101.436,0.4075,0.1553,0.3249,74.67,47.38,41.43,24.01,19.1,0.1738,8.59,43.83,90.79,0.4218,0.161,23.89,Out To RF,86,Oriole Park at Camden Yards,
