rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
11,691723,Coby Mayo,BAL,STL,2026-08-25T23:45:00Z,Pre-Game,3,Matthew Liberatore,669461,L,59.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.6,53.4,48.1,92.1,78.0,57.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.71,44.96,90.73,102.7044,0.4106,0.195,0.3037,75.33,54.67,50.11,33.9,15.2,0.2088,9.48,41.52,90.39,0.4482,0.1815,29.01,L To R,87,Busch Stadium,
12,700250,Ben Rice,NYY,HOU,2026-08-25T23:05:00Z,Pre-Game,2,Ethan Pecko,814490,R,58.9,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",64.3,10.8,75.2,100.0,80.0,52.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.98,50.85,92.53,102.5716,0.5173,0.2513,0.3756,72.91,28.36,46.29,30.32,31.6,0.2664,0.0,20.0,85.1,0.261,0.088,50.0,Out To RF,76,Yankee Stadium,
13,665833,Oneil Cruz,PIT,SD,2026-08-26T01:40:00Z,Scheduled,5,Michael King,650633,R,58.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",74.3,41.0,22.6,81.9,80.0,48.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,17.65,57.58,95.73,107.1754,0.4726,0.2315,0.3471,78.38,76.24,40.23,24.43,17.2,0.2088,9.37,34.11,87.31,0.4095,0.173,27.82,,,Petco Park,
14,686948,Drake Baldwin,ATL,LAD,2026-08-25T23:15:00Z,Pre-Game,1,Tyler Glasnow,607192,R,58.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",56.6,33.9,69.4,93.2,80.0,27.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.4,51.21,91.77,102.3829,0.4919,0.2164,0.3656,75.23,55.25,32.43,24.97,20.4,0.181,8.07,38.1,89.74,0.324,0.1371,26.47,Out To CF,89,Truist Park,
15,682987,Spencer Jones,NYY,HOU,2026-08-25T23:05:00Z,Pre-Game,6,Ethan Pecko,814490,R,58.5,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",71.0,10.8,75.2,76.2,80.0,66.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher allows elevated contact,15.8,58.5,94.7,104.2816,0.448,0.219,0.328,77.5,76.9,29.5,36.8,7.0,0.195,0.0,20.0,85.1,0.261,0.088,50.0,Out To RF,76,Yankee Stadium,
16,677951,Bobby Witt Jr.,KC,TOR,2026-08-25T23:07:00Z,Pre-Game,2,Max Scherzer,453286,R,58.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",56.3,48.1,38.4,100.0,50.0,79.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.3% barrel, 14.1 HR allowed",EV profile; pitcher allows elevated contact,11.87,50.6,92.74,103.6387,0.5087,0.2094,0.3776,73.88,41.67,30.1,26.78,18.1,0.1822,10.3,34.0,87.46,0.4477,0.2006,32.27,In From LF,72,Rogers Centre,
17,691406,Junior Caminero,TB,DET,2026-08-25T22:40:00Z,Pre-Game,3,Jackson Jobe,695549,R,58.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",62.6,51.1,41.1,92.1,50.0,32.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 11.2% barrel, 3.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.37,50.84,92.89,105.3473,0.4968,0.2306,0.3593,79.34,84.76,46.01,23.63,38.0,0.2591,11.15,41.34,88.47,0.4688,0.1988,23.38,In From RF,77,Comerica Park,
18,695600,Carter Jensen,KC,TOR,2026-08-25T23:07:00Z,Pre-Game,1,Max Scherzer,453286,R,57.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.2,48.1,38.4,93.2,80.0,32.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 10.3% barrel, 14.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,13.45,47.8,92.18,102.707,0.4447,0.2018,0.3364,74.1,38.52,39.95,30.49,12.8,0.2031,10.3,34.0,87.46,0.4477,0.2006,32.27,In From LF,72,Rogers Centre,
19,661388,William Contreras,MIL,NYM,2026-08-25T23:10:00Z,Pre-Game,3,Zac Thornton,804267,L,57.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",38.7,48.3,62.3,96.6,78.0,63.3,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,29,1,Contact streak: 13/29 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.52,45.42,90.47,101.6312,0.428,0.1681,0.3343,73.34,35.46,36.18,24.08,13.5,0.1278,9.4,40.9,89.2,0.455,0.187,28.9,Out To RF,77,Citi Field,
20,646240,Rafael Devers,SF,CIN,2026-08-26T01:45:00Z,Scheduled,2,Brady Singer,663903,R,57.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",57.5,51.7,19.3,95.5,80.0,48.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 23.2 HR allowed",EV profile; pitcher fly-ball pressure modest,12.36,52.11,92.87,103.0621,0.4562,0.2224,0.3383,71.81,20.37,33.77,33.6,29.4,0.2305,9.47,40.77,90.58,0.4356,0.173,27.63,,,Oracle Park,
